"","logFC","logCPM","PValue","FDR"
"9130011E15Rik",-0.74814419005697,3.73240323290155,0.00534936634152666,0.278325544583732
"Zfp219",0.603559201623444,5.86120440828438,0.00538433735675401,0.278325544583732
"Thap11",0.644878671185827,5.19297365911698,0.00542734317740969,0.278325544583732
"Thada",-0.750750123487271,4.14796734398883,0.00542909255895467,0.278325544583732
"Zfp444",0.708072565068887,4.60877827856755,0.00544196713261923,0.278325544583732
"Epm2aip1",-0.913850615351782,5.69875844167621,0.00544993274019414,0.278325544583732
"Haus8",1.08580379896782,4.03607955789809,0.00547158720586256,0.278325544583732
"Pi15",-1.16986525365568,4.40860062050153,0.0054720116261157,0.278325544583732
"Ddit4",-0.991949113177672,5.94435268121058,0.00549078577398224,0.278325544583732
"Ppp1r12a",-1.45413892746593,5.77345358561064,0.00550227914807142,0.278325544583732
"Xrn1",-1.89137931448035,4.01553643414823,0.00553937421676062,0.278325544583732
"Steap3",-0.838737073274962,4.27099193443123,0.00554869500036,0.278325544583732
"Nos1ap",-2.47993703111432,0.843112699116291,0.00558554475314145,0.278325544583732
"Zcchc11",-1.05917909364111,5.1750046621383,0.00558803896742621,0.278325544583732
"Nin",-0.810192489286825,5.97904834838108,0.00560238585190396,0.278325544583732
"Stra13",0.887135466615691,5.02781229337267,0.00560984579706677,0.278325544583732
"Samd1",0.689570256152709,5.09566336454354,0.00562273827441883,0.278325544583732
"Ssh1",-1.83527746436076,3.67278246181342,0.00567174424748843,0.279740037863956
"Prkab2",-1.45983658698082,3.6268003094951,0.00571630874051363,0.279740037863956
"9130221H12Rik",0.730560747701682,3.59694490197837,0.00572828343838333,0.279740037863956
"Usf1",0.756984483324113,6.38086099848349,0.0057808713726052,0.279740037863956
"Lemd2",0.632137789004053,6.00344666325549,0.00581093151557014,0.279740037863956
"Bcat2",0.893585861501354,5.70554626332348,0.00581239991341145,0.279740037863956
"Lyrm9",-0.83878512628607,2.68968315346481,0.00583598684232802,0.279740037863956
